# Pi-hole allowlist
# format: status|domain|comment

enabled|keystone.mwbsys.com|Owned by Malwarebytes. It is a licensing system used to verify the Malwarebytes software license. - qjz9zk
enabled|kqzyfj.com|
enabled|lastfm-img2.akamaized.net|Used by last.fm to deliver images. - qjz9zk
enabled|lcprd1.samsungcloudsolution.net|Samsung TV Apps
enabled|licensing.xboxlive.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
enabled|linksynergy.com|
enabled|live.com|Owned by Microsoft. It is a personal information manager web app from Microsoft consisting of webmail, calendaring, contacts, and tasks services. - qjz9zk
enabled|livepassdl.conviva.com|Conviva offers online video optimization and online video analytics. But it is neccessary to whitelist in order to watch many online contents which uses Conviva. - qjz9zk
enabled|logging.api.intuit.com|Added from Query Log
enabled|login.live.com|Owned by Microsoft. The following endpoint is used to authenticate a device.  - qjz9zk
enabled|login.microsoftonline.com|Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk
enabled|manifest.googlevideo.com|Used for YouTube live streams. - qjz9zk
enabled|meg.disco.peacocktv.com|
enabled|meta-db-worker02.pop.ric.plex.bz|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|meta.plex.bz|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|meta.plex.tv|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|metadata.provider.plex.tv|
enabled|metrics.plex.tv|
enabled|microsoftonline.com|Owned by Microsoft. This domain is checked by the operating systems when connecting via wifi, and if they do not get the response they expect, they may try to open a wifi login page or similar as they believe they are located behind a captive portal. - qjz9zk
enabled|mobile.pipe.aria.microsoft.com|Added from Query Log
enabled|msftncsi.com|Owned by Microsoft. This domain is checked by the operating systems when connecting via wifi, and if they do not get the response they expect, they may try to open a wifi login page or similar as they believe they are located behind a captive portal. - qjz9zk
enabled|my.plexapp.com|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|mytv.clients.peacocktv.com|
enabled|nbcstreaming.sc.omtrdc.net|Added from Query Log
enabled|news-app-events.apple.com|Added from Query Log
enabled|nexusrules.officeapps.live.com|Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk
enabled|nine.plugins.plexapp.com|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|no-ip.com|No-IP offers DNS services, email, network monitoring and SSL certificates. - qjz9zk
enabled|node.plexapp.com|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|notify.xboxlive.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
enabled|npr-news.streaming.adswizz.com|Used for NPR morning news and podcasts. - qjz9zk
enabled|ns1.dropbox.com|Dropbox nameserver. Used to download files from Dropbox - qjz9zk
